id,fecha,dia,mes,año,victima,hora,franja_horaria,participantes,acusado,cantidad_victimas,comuna,lugar_hecho,tipo_calle,calle,cruce,direccion_normalizada,xy,x,y,rol,sexo,edad,fecha_fallecimiento
2016-0050,2016-04-19,19,4,2016,PEATON,09:50:00,9,PEATON-PASAJEROS,PASAJEROS,1,8,TIMOTEO GORDILLO Y AV FERNANDEZ DE LA CRUZ,AVENIDA,"GORDILLO, TIMOTEO","FERNANDEZ DE LA CRUZ, F., GRAL. AV.","GORDILLO, TIMOTEO y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",Point (99106.14718950 93761.32882893),-58.47305463,-34.68550712,PEATON,MASCULINO,78.0,2016-04-19 00:00:00
2016-0051,2016-04-20,20,4,2016,MOTO,04:00:00,4,MOTO-CARGAS,CARGAS,1,4,AV AMANCIO ALCORTA Y BONAVENA,AVENIDA,"ALCORTA, AMANCIO AV.","BONAVENA, OSCAR NATALIO","ALCORTA, AMANCIO AV. y BONAVENA, OSCAR NATALIO",Point (105230.98315750 97613.97258373),-58.40623949,-34.65076549,CONDUCTOR,MASCULINO,36.0,2016-04-20 00:00:00
2016-0052,2016-04-20,20,4,2016,MOTO,20:00:00,20,MOTO-SD,SD,1,13,AUTOPISTA LUGONES PK 10000,AUTOPISTA,"LUGONES, LEOPOLDO AV.",,,Point (. .),.,.,,,,
2016-0053,2016-04-22,22,4,2016,PEATON,09:30:00,9,PEATON-PASAJEROS,PASAJEROS,1,12,AV TRIUNVIRATO Y AV OLAZABAL,AVENIDA,TRIUNVIRATO AV.,OLAZABAL AV.,TRIUNVIRATO AV. y OLAZABAL AV.,Point (98073.80557770 105955.73972818),-58.48429180,-34.57558053,PEATON,MASCULINO,38.0,2016-04-22 00:00:00
2016-0054,2016-04-23,23,4,2016,MOTO,21:00:00,21,MOTO-MOTO,MOTO,1,8,AU LUIS DELLEPIANE Y AV GRAL PAZ,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,"PAZ, GRAL. AV.","AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y PAZ, GRAL. AV.",Point (97832.57143731 93489.83736533),-58.48695354,-34.68795245,CONDUCTOR,MASCULINO,30.0,2016-04-25 00:00:00
2016-0055,2016-04-25,25,4,2016,PEATON,20:30:00,20,PEATON-CARGAS,CARGAS,1,14,RAMON CASTILLA Y AV FIGUEROA ALCORTA,AVENIDA,"CASTILLA, RAMON, MARISCAL","FIGUEROA ALCORTA, PRES. AV.","CASTILLA, RAMON, MARISCAL y FIGUEROA ALCORTA, PRES. AV.",Point (105787.74102401 105502.98340149),-58.40021959,-34.57964781,PEATON,MASCULINO,79.0,2016-04-28 00:00:00
2016-0056,2016-04-26,26,4,2016,MOTO,04:45:00,4,MOTO-OBJETO FIJO,OBJETO FIJO,1,14,AV LUIS MARIA CAMPOS 30,AVENIDA,"CAMPOS, LUIS M. AV.",,"CAMPOS, LUIS M. AV. 30",Point (103094.06446966 105842.29634122),-58.42957885,-34.57660058,CONDUCTOR,MASCULINO,26.0,2016-04-26 00:00:00
2016-0058,2016-05-04,4,5,2016,PEATON,14:00:00,14,PEATON-MOTO,MOTO,1,1,LIMA 1471,CALLE,LIMA,,LIMA 1471,Point (107411.76356149 100408.31441284),-58.38247542,-34.62556293,PEATON,FEMENINO,57.0,2016-05-08 00:00:00
2016-0059,2016-05-08,8,5,2016,PEATON,16:30:00,16,PEATON-PASAJEROS,PASAJEROS,1,1,PASAJE CIUDADELA Y LIMA OESTE,CALLE,CIUDADELA,LIMA,CIUDADELA y LIMA,Point (107434.83290791 100217.70308007),-58.38222219,-34.62728101,PEATON,MASCULINO,37.0,2016-05-26 00:00:00
2016-0064,2016-05-14,14,5,2016,PEATON,18:11:00,18,PEATON-PASAJEROS,PASAJEROS,1,10,AV JUAN B JUSTO Y AV CARRASCO,AVENIDA,"JUSTO, JUAN B. AV.",CARRASCO AV.,"JUSTO, JUAN B. AV. y CARRASCO AV.",Point (97106.70264812 99970.19547024),-58.49485242,-34.62953445,PEATON,MASCULINO,20.0,
